Info: *******************************************************************
Info: Running Quartus Prime Signal Tap
    Info: Version 21.3.0 Build 170 09/23/2021 SC Pro Edition
    Info: Copyright (C) 2021  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and any partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel FPGA IP License Agreement, or other applicable license
    Info: agreement, including, without limitation, that your use is for
    Info: the sole purpose of programming logic devices manufactured by
    Info: Intel and sold by Intel or its authorized distributors.  Please
    Info: refer to the applicable agreement for further details, at
    Info: https://fpgasoftware.intel.com/eula.
    Info: Processing started: Sun Aug 30 16:10:28 2026
    Info: System process ID: 1121588
Info: Command: quartus_stp -t scripts/jtag/read_step5_helper_pi_state_rail_audit.tcl 600 100 "DE5 [1-11.2]"
Info: Quartus(args): 600 100 {DE5 [1-11.2]}
STEP5_PI_AUDIT_CONFIG samples=600 gap_ms=100 board_filter=DE5 [1-11.2] experiment=EXP-WRPC-STEP5-HPLL-6208-64-HELPER-PI-STATE-RAIL-AUDIT read_only=1 pi_trace_base=0x200 fresh_reset_required=1
=== DE5 [1-11.2] ===
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=1 elapsed_ms=0 FRAME_VALID=0 PI_TRACE_PRESENT=0 PI_EPOCH=INVALID PI_INTEGRATOR_BEFORE=INVALID PI_I_NEW=INVALID PI_INTEGRATOR_AFTER=INVALID PI_UNCLAMPED_OUTPUT=INVALID PI_CLAMPED_OUTPUT=INVALID PI_CLAMP_SIDE=INVALID HELPER_ERROR=INVALID HELPER_OUTPUT=INVALID FREQ_ERROR=INVALID TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=INVALID HELPER_LOCK_COUNT=INVALID BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=12 elapsed_ms=1100 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=36736 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-336 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=13 elapsed_ms=1200 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=39066 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-256 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=14 elapsed_ms=1300 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=41384 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=519504414 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-155 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=15 elapsed_ms=1400 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=42922 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-95 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=16 elapsed_ms=1500 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=45218 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-12 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=17 elapsed_ms=1600 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=46742 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=53 TARGET_CODE=65531 APPLIED_CODE=11845 NORMAL_COMPLETED=185 NORMAL_FINC=185 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=18 elapsed_ms=1700 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=49016 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=106184722455690 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=148 TARGET_CODE=65531 APPLIED_CODE=26053 NORMAL_COMPLETED=407 NORMAL_FINC=407 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=19 elapsed_ms=1800 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=52030 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=281 TARGET_CODE=65531 APPLIED_CODE=47237 NORMAL_COMPLETED=738 NORMAL_FINC=738 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=20 elapsed_ms=1900 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=53528 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=519504430 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=286 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=21 elapsed_ms=2000 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=55028 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=305 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=22 elapsed_ms=2100 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=57274 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=295 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=23 elapsed_ms=2200 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=59522 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=299 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=24 elapsed_ms=2300 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=61770 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=306 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=25 elapsed_ms=2400 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=63270 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=307 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=26 elapsed_ms=2500 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=65516 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=286 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=27 elapsed_ms=2600 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=67764 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=302 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=28 elapsed_ms=2700 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=69264 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=296 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=29 elapsed_ms=2800 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=70762 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=306 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=30 elapsed_ms=2900 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=73010 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=298 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=31 elapsed_ms=3000 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=74508 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=284 TARGET_CODE=65531 APPLIED_CODE=65477 NORMAL_COMPLETED=1023 NORMAL_FINC=1023 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
